Species,mass,bmr,N,zona,origen
Threnetes leucurus,9.4,0.15,3,Tropical,This Study
Phaethornis guy,5.9,0.13,8,Tropical,This Study
Phaethornis hispidus,4.9,0.14,5,Tropical,This Study
Phaethornis superciliosus †,5.2,0.14,3,Tropical,This Study
Phaethornis koepckeae,5.4,0.13,2,Tropical,This Study
Doryfera ludovicae,5.9,0.16,5,Tropical,This Study
Colibri thalassinus,6.2,0.16,1,Tropical,This Study
Colibri coruscans †,8.4,0.15,25,Tropical,This Study
Thalurania furcata,3.8,0.13,1,Tropical,This Study
Taphrospilus hypostictus,7.5,0.13,4,Tropical,This Study
Adelomyia melanogenys,3.5,0.08,6,Tropical,This Study
Phlogophilus harterti *,2.8,0.15,2,Tropical,This Study
Heliodoxa leadbeateri,7.5,0.19,21,Tropical,This Study
Boissonneaua matthewsii,7.5,0.2,5,Tropical,This Study
Aglaeactis cupripennis,7.2,0.12,9,Tropical,This Study
Aglaeactis castelnaudii,6.9,0.1,1,Tropical,This Study
Oreotrochilus estella,8.4,0.19,N/A,Tropical,McKechnie & Wolf 2004
Lafresnaya lafresnayi,5.7,0.14,1,Tropical,This Study
Coeligena coeligena,7.1,0.19,6,Tropical,This Study
Coeligena violifer,7.8,0.14,23,Tropical,This Study
Pterophanes cyanopterus,10.8,0.11,1,Tropical,This Study
Sephanoides sephaniodes,5.7,0.1,N/A,Temperate,McKechnie & Wolf 2004
Heliangelus amethysticollis,5.8,0.15,14,Tropical,This Study
Haplophaedia aureliae,4.8,0.14,3,Tropical,This Study
Ocreatus underwoodii,3.3,0.08,2,Tropical,This Study
Ramphomicron microrhynchum,3.9,0.08,1,Tropical,This Study
Metallura tyrianthina,3.8,0.1,17,Tropical,This Study
Chalcostigma ruficeps,3.6,0.15,7,Tropical,This Study
Schistes geoffroyi,4.8,0.18,3,Tropical,This Study
Chaetocercus mulsant,3.6,0.07,1,Tropical,This Study
Colius striatus,51,0.24,N/A,Tropical,McKechnie & Wolf 2004
Colius colius,35.1,0.18,N/A,Temperate,McKechnie & Wolf 2004
Trogon personatus,59,0.83,1,Tropical,This Study
Dacelo novaeguineae,336,1.12,N/A,Temperate,White et al. 2007
Chloroceryle aenea,11.8,0.17,N/A,Tropical,Wiersma et al. 2007
Todus mexicanus,6.1,0.11,N/A,Tropical,White et al. 2007
Momotus momota,123.1,0.52,2,Tropical,This Study
Momotus momota,102.4,0.49,N/A,Tropical,Wiersma et al. 2007
Momotus aequatorialis *,158.5,0.58,1,Tropical,This Study
Baryphthengus martii,127.1,0.55,3,Tropical,This Study
Merops viridis,33.8,0.3,N/A,Tropical,McKechnie & Wolf 2004
Phoeniculus purpureus *,74.1,0.17,N/A,Tropical,McKechnie & Wolf 2004
Galbula cyanescens,24,0.23,2,Tropical,This Study
Notharchus macrorhynchos,43.2,0.32,N/A,Tropical,Wiersma et al. 2007
Bucco macrodactylus,23.7,0.18,1,Tropical,This Study
Malacoptila semicincta,47.1,0.33,1,Tropical,This Study
Malacoptila fulvogularis,49.6,0.53,2,Tropical,This Study
Micromonacha lanceolata §,21.9,0.36,1,Tropical,This Study
Monasa nigrifrons §,86,0.46,5,Tropical,This Study
Monasa morphoeus §,67.5,0.45,2,Tropical,This Study
Aulacorhynchus prasinus,137,0.98,2,Tropical,This Study
Selenidera reinwardtii,173.6,1.2,1,Tropical,This Study
Andigena hypoglauca,282.9,1.71,1,Tropical,This Study
Picumnus rufiventris,21.9,0.26,2,Tropical,This Study
Melanerpes formicivorus,73.1,0.74,N/A,Temperate,Wiersma et al. 2007
Melanerpes rubricapillus *,48.7,0.54,N/A,Tropical,Wiersma et al. 2007
Picoides pubescens,21.7,0.38,N/A,Temperate,McKechnie & Wolf 2004
Picoides pubescens,24.1,0.41,N/A,Temperate,White et al. 2007
Veniliornis nigriceps,43.4,0.49,3,Tropical,This Study
Colaptes rivolii,81.5,0.93,3,Tropical,This Study
Celeus loricatus,83.1,0.69,N/A,Tropical,Wiersma et al. 2007
Celeus spectabilis,113,0.98,1,Tropical,This Study
Micrastur ruficollis *,304.1,0.72,1,Tropical,This Study
Micrastur gilvicollis,170.5,1.04,1,Tropical,This Study
Falco sparverius,111.6,1.13,6,Temperate,UCR
Calyptorhynchus banksii,535.5,2.97,N/A,Temperate,White et al. 2007
Eolophus roseicapilla *,268.7,1.25,N/A,Temperate,McKechnie & Wolf 2004
Cacatua tenuirostris *,549.9,3.17,N/A,Temperate,McKechnie & Wolf 2004
Cacatua galerita § ,776.1,3.42,N/A,Temperate,McKechnie & Wolf 2004
Nymphicus hollandicus *,96.8,0.66,6,Tropical,UCR
Trichoglossus haematodus,137.1,1.19,N/A,Tropical,White et al. 2007
Barnardius zonarius,131.8,0.79,N/A,Temperate,White et al. 2007
Neopsephotus bourkii,35,0.29,1,Temperate,UCR
Neophema petrophila,48.4,0.63,N/A,Temperate,White et al. 2007
Melopsittacus undulatus,42.8,0.36,6,Temperate,UCR
Agapornis roseicollis §,48.3,0.36,6,Temperate,UCR
Bolborhynchus orbygnesius *,46.4,0.38,3,Tropical,This Study
Brotogeris jugularis,63.5,0.58,N/A,Tropical,Wiersma et al. 2007
Asthenes helleri *,15,0.19,4,Tropical,This Study
Synallaxis azarae,13.6,0.23,9,Tropical,This Study
Synallaxis cabanisi *,19.3,0.3,3,Tropical,This Study
Cranioleuca marcapatae,19,0.28,6,Tropical,This Study
Premnoplex brunnescens,15.7,0.32,17,Tropical,This Study
Margarornis squamiger,16.7,0.27,15,Tropical,This Study
Pseudocolaptes boissonneautii,42.9,0.55,1,Tropical,This Study
Anabacerthia striaticollis,24.2,0.35,8,Tropical,This Study
Simoxenops ucayalae,51.2,0.61,1,Tropical,This Study
Ancistrops strigilatus,36,0.22,1,Tropical,This Study
Hyloctistes subulatus,30.2,0.49,1,Tropical,This Study
Philydor erythrocercum *,38.2,0.42,1,Tropical,This Study
Anabazenops dorsalis,39.2,0.45,1,Tropical,This Study
Thripadectes melanorhynchus *,47.5,0.54,14,Tropical,This Study
Thripadectes holostictus *,42.5,0.38,5,Tropical,This Study
Automolus ochrolaemus,36.7,0.63,1,Tropical,This Study
Automolus melanopezus,31.6,0.38,1,Tropical,This Study
Automolus rufipileatus,36.2,0.46,5,Tropical,This Study
Sclerurus mexicanus,28.8,0.44,3,Tropical,This Study
Sclerurus caudacutus *,36.2,0.46,4,Tropical,This Study
Lochmias nematura,30.5,0.34,3,Tropical,This Study
Xenops minutus,12.7,0.18,1,Tropical,This Study
Dendrocincla tyrannina,58.3,0.53,2,Tropical,This Study
Dendrocincla fuliginosa,33.1,0.37,9,Tropical,This Study
Dendrocincla merula,52.8,0.62,11,Tropical,This Study
Sittasomus griseicapillus,14.4,0.27,1,Tropical,This Study
Glyphorynchus spirurus,15.5,0.25,21,Tropical,This Study
Dendrocolaptes picumnus,80.2,0.72,1,Tropical,This Study
Xiphorhynchus elegans,41.4,0.51,9,Tropical,This Study
Xiphorhynchus guttatus,60.1,0.52,7,Tropical,This Study
Xiphorhynchus triangularis,44.1,0.6,7,Tropical,This Study
Lepidocolaptes lacrymiger,32.6,0.22,1,Tropical,This Study
Thamnophilus doliatus,26.2,0.29,N/A,Tropical,Wiersma et al. 2007
Thamnophilus palliatus,27.8,0.49,1,Tropical,This Study
Thamnophilus atrinucha,20.5,0.28,N/A,Tropical,Wiersma et al. 2007
Thamnophilus punctatus,21,0.34,N/A,Tropical,Wiersma et al. 2007
Thamnomanes ardesiacus,19.3,0.27,9,Tropical,This Study
Thamnomanes schistogynus,19.7,0.34,3,Tropical,This Study
Epinecrophylla leucophthalma,9.4,0.19,8,Tropical,This Study
Isleria hauxwelli,10.8,0.21,9,Tropical,This Study
Myrmotherula axillaris,8.9,0.19,4,Tropical,This Study
Myrmotherula schisticolor,8.3,0.25,2,Tropical,This Study
Myrmotherula longipennis,9.6,0.22,1,Tropical,This Study
Myrmotherula menetriesii,9.3,0.28,2,Tropical,This Study
Drymophila caudata,12.2,0.14,1,Tropical,This Study
Cercomacra tyrannina,15.4,0.19,N/A,Tropical,Wiersma et al. 2007
Pyriglena leuconota,32.1,0.55,4,Tropical,This Study
Myrmoborus leucophrys,19.8,0.33,1,Tropical,This Study
Myrmoborus myotherinus,21.2,0.28,3,Tropical,This Study
Hypocnemis subflava *,15.6,0.24,3,Tropical,This Study
Percnostola lophotes,31.6,0.33,3,Tropical,This Study
Schistocichla leucostigma,17.8,0.18,1,Tropical,This Study
Myrmeciza longipes,27.4,0.33,N/A,Tropical,Wiersma et al. 2007
Myrmeciza exsul,28.3,0.29,N/A,Tropical,Wiersma et al. 2007
Myrmeciza hemimelaena,18,0.25,5,Tropical,This Study
Myrmeciza goeldii,42.4,0.42,4,Tropical,This Study
Gymnopithys bicolor *,27.7,0.33,N/A,Tropical,Wiersma et al. 2007
Gymnopithys salvini,27.1,0.32,7,Tropical,This Study
Rhegmatorhina melanosticta,42.2,0.41,1,Tropical,This Study
Hylophylax naevioides,16.1,0.24,N/A,Tropical,Wiersma et al. 2007
Hylophylax naevius,12.8,0.35,1,Tropical,This Study
Willisornis poecilinotus,22.3,0.39,4,Tropical,This Study
Phlegopsis nigromaculata,47.1,0.48,2,Tropical,This Study
Formicarius analis,54.9,0.62,3,Tropical,This Study
Formicarius rufipectus *,70.3,0.73,1,Tropical,This Study
Grallaria guatimalensis,87,0.62,1,Tropical,This Study
Grallaria rufula,33.8,0.52,1,Tropical,This Study
Conopophaga peruviana,24.5,0.34,4,Tropical,This Study
Conopophaga ardesiaca,27.5,0.39,15,Tropical,This Study
Scytalopus atratus,21.5,0.38,4,Tropical,This Study
Scytalopus parvirostris,17,0.36,3,Tropical,This Study
Elaenia albiceps,16.8,0.19,3,Tropical,This Study
Elaenia gigas,30.7,0.41,1,Tropical,This Study
Elaenia obscura,13.9,0.14,1,Tropical,This Study
Elaenia pallatangae,15.7,0.23,17,Tropical,This Study
Camptostoma obsoletum,12.5,0.26,N/A,Tropical,Wiersma et al. 2007
Mecocerculus leucophrys,13.9,0.15,3,Tropical,This Study
Mecocerculus stictopterus *,10.9,0.22,1,Tropical,This Study
Anairetes parulus,6.6,0.15,2,Tropical,This Study
Corythopis torquatus,18.7,0.28,5,Tropical,This Study
Zimmerius bolivianus,11,0.28,2,Tropical,This Study
Pogonotriccus ophthalmicus,8.8,0.24,2,Tropical,This Study
Mionectes striaticollis †,14.7,0.27,38,Tropical,This Study
Mionectes olivaceus †,15.7,0.28,21,Tropical,This Study
Mionectes oleagineus,11.4,0.18,7,Tropical,This Study
Mionectes oleagineus,10.3,0.16,N/A,Tropical,Wiersma et al. 2007
Mionectes macconnelli,11.4,0.16,14,Tropical,This Study
Leptopogon amaurocephalus †,14.1,0.22,6,Tropical,This Study
Leptopogon superciliaris,12.9,0.25,9,Tropical,This Study
Hemitriccus granadensis *,8.2,0.14,2,Tropical,This Study
Lophotriccus pileatus,8.2,0.19,2,Tropical,This Study
Todirostrum cinereum,7.3,0.17,N/A,Tropical,Wiersma et al. 2007
Cnipodectes subbrunneus,20.5,0.27,N/A,Tropical,Wiersma et al. 2007
Rhynchocyclus olivaceus,21,0.3,N/A,Tropical,Wiersma et al. 2007
Rhynchocyclus fulvipectus,26,0.39,3,Tropical,This Study
Platyrinchus coronatus,10.8,0.16,2,Tropical,This Study
Platyrinchus platyrhynchos,14,0.3,1,Tropical,This Study
Pyrrhomyias cinnamomeus,10.7,0.2,4,Tropical,This Study
Lathrotriccus euleri,9.3,0.21,1,Tropical,This Study
Sayornis phoebe,21.6,0.34,N/A,Temperate,McKechnie & Wolf 2004
Sayornis phoebe,21.6,0.34,N/A,Temperate,Wiersma et al. 2007
Contopus sordidulus,12.5,0.56,1,Temperate,This Study
Contopus virens,13.9,0.26,N/A,Temperate,Wiersma et al. 2007
Empidonax virescens,12.3,0.18,N/A,Temperate,Wiersma et al. 2007
Knipolegus aterrimus,34,0.31,1,Tropical,This Study
Muscisaxicola fluviatilis,13.6,0.26,1,Tropical,This Study
Myiotheretes fuscorufus *,29.2,0.52,1,Tropical,This Study
Silvicultrix spodionota *,10.7,0.17,1,Tropical,This Study
Silvicultrix pulchella,12,0.17,6,Tropical,This Study
Ochthoeca rufipectoralis *,10.9,0.2,6,Tropical,This Study
Legatus leucophaius,26.7,0.16,1,Tropical,This Study
Myiozetetes similis,27.1,0.29,1,Tropical,This Study
Myiodynastes maculatus,41,0.59,N/A,Tropical,Wiersma et al. 2007
Tyrannus melancholicus,38,0.36,N/A,Tropical,Wiersma et al. 2007
Tyrannus tyrannus,36.1,0.36,2,Temperate,This Study
Myiarchus crinitus,33.9,0.38,N/A,Temperate,McKechnie & Wolf 2004
Myiarchus crinitus,33.9,0.38,N/A,Temperate,Wiersma et al. 2007
Ramphotrigon fuscicauda,17.4,0.28,1,Tropical,This Study
Attila spadiceus,32.7,0.14,1,Tropical,This Study
Pipreola intermedia,49.6,0.61,2,Tropical,This Study
Pipreola arcuata,93,0.6,1,Tropical,This Study
Rupicola peruvianus,246.5,1.08,3,Tropical,This Study
Lipaugus vociferans,86.6,0.76,1,Tropical,This Study
Machaeropterus pyrocephalus,10,0.24,2,Tropical,This Study
Lepidothrix coronata,10.6,0.2,20,Tropical,This Study
Lepidothrix coeruleocapilla,9.6,0.24,8,Tropical,This Study
Manacus vitellinus,15.5,0.23,N/A,Tropical,McKechnie & Wolf 2004
Chiroxiphia lanceolata *,18.4,0.34,N/A,Tropical,Wiersma et al. 2007
Chiroxiphia boliviana,17,0.3,11,Tropical,This Study
Xenopipo holochlora *,16,0.21,1,Tropical,This Study
Pipra fasciicauda,16.4,0.26,38,Tropical,This Study
Dixiphia mentalis,12.3,0.19,N/A,Tropical,White et al. 2007
Dixiphia chloromeros *,16.2,0.29,20,Tropical,This Study
Onychorhynchus coronatus,14,0.3,2,Tropical,This Study
Myiobius villosus,14.7,0.3,1,Tropical,This Study
Terenotriccus erythrurus,9.3,0.24,2,Tropical,This Study
Gliciphila melanops,18.8,0.29,N/A,Temperate,McKechnie & Wolf 2004
Acanthorhynchus tenuirostris,9.7,0.25,N/A,Temperate,McKechnie & Wolf 2004
Lichmera indistincta,9,0.21,N/A,Temperate,McKechnie & Wolf 2004
Phylidonyris novaehollandiae,17.3,0.32,N/A,Temperate,McKechnie & Wolf 2004
Melithreptus lunatus,14.3,0.25,N/A,Temperate,McKechnie & Wolf 2004
Gavicalis virescens,25,0.35,N/A,Temperate,McKechnie & Wolf 2004
Lanius collurio,27,0.38,N/A,Temperate,Wiersma et al. 2007
Lanius excubitor,61.8,0.56,N/A,Temperate,Wiersma et al. 2007
Vireo olivaceus,16.2,0.24,N/A,Temperate,Wiersma et al. 2007
Vireo flavoviridis,15.9,0.28,N/A,Tropical,Wiersma et al. 2007
Oriolus oriolus,64.9,0.65,N/A,Temperate,Wiersma et al. 2007
Cyanolyca viridicyanus,82.6,1.07,2,Tropical,This Study
Pica pica,158.9,1.2,N/A,Temperate,McKechnie & Wolf 2004
Pica nuttalli,151.9,1.47,N/A,Temperate,McKechnie & Wolf 2004
Poecile atricapillus,10.3,0.25,N/A,Temperate,McKechnie & Wolf 2004
Parus major,18.5,0.38,N/A,Temperate,White et al. 2007
Alaemon alaudipes,37.7,0.43,N/A,Temperate,McKechnie & Wolf 2004
Chersomanes albofasciata,25.7,0.34,N/A,Tropical,White et al. 2007
Ammomanes deserti *,21.5,0.23,N/A,Temperate,White et al. 2007
Eremopterix nigriceps,15.2,0.19,N/A,Temperate,White et al. 2007
Calendulauda erythrochlamys *,27.3,0.41,N/A,Temperate,McKechnie & Wolf 2004
Mirafra erythroptera,27.3,0.42,N/A,Tropical,White et al. 2007
Lullula arborea,25.5,0.57,N/A,Temperate,Wiersma et al. 2007
Alauda arvensis,31.7,0.72,N/A,Temperate,McKechnie & Wolf 2004
Galerida cristata,31.2,0.37,N/A,Temperate,White et al. 2007
Eremophila alpestris,26,0.45,N/A,Temperate,White et al. 2007
Calandrella brachydactyla,24,0.41,N/A,Temperate,White et al. 2007
Melanocorypha calandra,50.6,0.57,N/A,Temperate,White et al. 2007
Eremalauda dunni,20.6,0.28,N/A,Temperate,McKechnie & Wolf 2004
Alaudala rufescens,23.6,0.37,N/A,Temperate,White et al. 2007
Pycnonotus finlaysoni,26.3,0.22,N/A,Tropical,McKechnie & Wolf 2004
Pycnonotus goiavier,28.6,0.25,N/A,Tropical,McKechnie & Wolf 2004
Riparia riparia,13.6,0.23,N/A,Temperate,Wiersma et al. 2007
Tachycineta bicolor,16.4,0.29,N/A,Temperate,Wiersma et al. 2007
Tachycineta albilinea,11.7,0.25,N/A,Tropical,Wiersma et al. 2007
Progne chalybea,34.9,0.47,N/A,Tropical,Wiersma et al. 2007
Stelgidopteryx ruficollis,14,0.22,2,Tropical,This Study
Hirundo tahitica,14.1,0.18,N/A,Tropical,McKechnie & Wolf 2004
Psaltriparus minimus,5.5,0.12,N/A,Temperate,McKechnie & Wolf 2004
Phylloscopus trochilus,10.7,0.21,N/A,Temperate,Wiersma et al. 2007
Phylloscopus collybita,8.2,0.17,N/A,Temperate,Wiersma et al. 2007
Acrocephalus arundinaceus,21.9,0.26,N/A,Temperate,McKechnie & Wolf 2004
Acrocephalus schoenobaenus,11.5,0.22,N/A,Temperate,Wiersma et al. 2007
Acrocephalus palustris,10.8,0.2,N/A,Temperate,Wiersma et al. 2007
Hippolais icterina,12.5,0.25,N/A,Temperate,Wiersma et al. 2007
Sylvia atricapilla,21.9,0.42,N/A,Temperate,Wiersma et al. 2007
Sylvia borin,24.8,0.42,N/A,Temperate,Wiersma et al. 2007
Sylvia curruca,10.6,0.2,N/A,Temperate,Wiersma et al. 2007
Zosterops lateralis,11,0.15,N/A,Temperate,McKechnie & Wolf 2004
Cinnycerthia fulva *,16.3,0.2,4,Tropical,This Study
Pheugopedius fasciatoventris,27.2,0.31,N/A,Tropical,Wiersma et al. 2007
Thryophilus rufalbus,22.6,0.3,N/A,Tropical,Wiersma et al. 2007
Cantorchilus leucotis,18,0.21,N/A,Tropical,Wiersma et al. 2007
Thryothorus ludovicianus,20.1,0.36,N/A,Temperate,Wiersma et al. 2007
Troglodytes aedon aedon,10.2,0.21,N/A,Temperate,Wiersma et al. 2007
Troglodytes aedon musculus *,13.3,0.21,N/A,Tropical,Wiersma et al. 2007
Troglodytes solstitialis,13,0.27,2,Tropical,This Study
Henicorhina leucophrys,15.3,0.31,6,Tropical,This Study
Microcerculus marginatus,19.4,0.33,3,Tropical,This Study
Cyphorhinus thoracicus *,34.4,0.42,13,Tropical,This Study
Sitta carolinensis,19.4,0.36,N/A,Temperate,White et al. 2007
Mimus polyglottos,44.2,0.68,N/A,Temperate,Wiersma et al. 2007
Mimus gilvus,68.9,0.74,N/A,Tropical,Wiersma et al. 2007
Acridotheres cristatellus,109.4,1.21,N/A,Tropical,White et al. 2007
Sturnus vulgaris,85,1.25,N/A,Temperate,White et al. 2007
Sialia mexicana,27.5,0.42,N/A,Temperate,McKechnie & Wolf 2004
Myadestes ralloides †,28.8,0.39,7,Tropical,This Study
Catharus dryas,35.9,0.46,9,Tropical,This Study
Catharus ustulatus,28.2,0.43,38,Temperate,This Study
Entomodestes leucotis,60.7,0.26,1,Tropical,This Study
Turdus leucops,62.2,0.71,1,Tropical,This Study
Turdus fuscater,138,0.96,1,Tropical,This Study
Turdus chiguanco,87,0.54,4,Tropical,This Study
Turdus serranus,81.2,0.97,4,Tropical,This Study
Turdus nigriceps,51.1,0.53,5,Tropical,This Study
Turdus ignobilis,56.6,0.41,1,Tropical,This Study
Turdus lawrencii,55.3,0.67,1,Tropical,This Study
Turdus hauxwelli,63.3,0.5,4,Tropical,This Study
Turdus grayi,77.9,0.68,N/A,Tropical,Wiersma et al. 2007
Turdus albicollis,51.3,0.46,15,Tropical,This Study
Turdus migratorius,62.4,0.76,N/A,Temperate,Wiersma et al. 2007
Copsychus saularis,33.5,0.23,N/A,Tropical,McKechnie & Wolf 2004
Muscicapa striata,14.4,0.25,N/A,Temperate,Wiersma et al. 2007
Larvivora cyane,13.4,0.17,N/A,Temperate,White et al. 2007
Luscinia svecica,15.5,0.28,N/A,Temperate,White et al. 2007
Luscinia svecica,19.9,0.26,N/A,Temperate,White et al. 2007
Phoenicurus phoenicurus,13,0.23,N/A,Temperate,Wiersma et al. 2007
Cinnyris venustus,7.1,0.14,N/A,Tropical,McKechnie & Wolf 2004
Aethopyga christinae,5.2,0.12,N/A,Tropical,McKechnie & Wolf 2004
Passer domesticus,23.5,0.31,30,Temperate,UCR
Passer montanus,17.5,0.2,N/A,Temperate,White et al. 2007
Ploceus aurantius,18.7,0.22,6,Tropical,UCR
Amadina erythrocephala,22.4,0.21,N/A,Tropical,McKechnie & Wolf 2004
Amadina fasciata,17.2,0.21,N/A,Tropical,McKechnie & Wolf 2004
Amadina fasciata,18.2,0.23,4,Tropical,UCR
Estrilda melpoda,7.5,0.13,N/A,Tropical,McKechnie & Wolf 2004
Taeniopygia guttata,14.1,0.12,6,Temperate,UCR
Lonchura cucullata *,10.6,0.08,N/A,Temperate,McKechnie & Wolf 2004
Lonchura fringilloides *,19.8,0.23,4,Temperate,UCR
Lonchura fuscans *,9.5,0.1,N/A,Tropical,McKechnie & Wolf 2004
Lonchura punctulata,14.5,0.19,5,Tropical,UCR
Lonchura malacca,11.8,0.14,N/A,Tropical,McKechnie & Wolf 2004
Lonchura maja,12.8,0.15,N/A,Tropical,McKechnie & Wolf 2004
